KABKOT,RLS_2017
SIMEULUE,9.06
ACEH SINGKIL,7.84
ACEH SELATAN,8.33
ACEH TENGGARA,9.63
ACEH TIMUR,7.8
ACEH TENGAH,9.67
ACEH BARAT,9.04
ACEH BESAR,9.93
PIDIE,8.76
BIREUEN,9.16
ACEH UTARA,8.1
ACEH BARAT DAYA,8.12
GAYO LUES,7.39
ACEH TAMIANG,8.47
NAGAN RAYA,8.25
ACEH JAYA,8.13
BENER MERIAH,9.55
PIDIE JAYA,8.84
KOTA BANDA ACEH,12.59
KOTA SABANG,10.7
KOTA LANGSA,10.9
KOTA LHOKSEUMAWE,10.88
KOTA SUBULUSSALAM,7.12
NIAS,4.93
MANDAILING NATAL,8
TAPANULI SELATAN,8.67
TAPANULI TENGAH,8.28
TAPANULI UTARA,9.46
TOBA SAMOSIR,10.1
LABUHAN BATU,9.01
ASAHAN,8.46
SIMALUNGUN,8.95
DAIRI,8.9
KARO,9.54
DELI SERDANG,9.7
LANGKAT,8.51
NIAS SELATAN,4.95
HUMBANG HASUNDUTAN,9.1
PAKPAK BHARAT,8.47
SAMOSIR,8.95
SERDANG BEDAGAI,8.35
BATU BARA,7.83
PADANG LAWAS UTARA,8.93
PADANG LAWAS,8.43
LABUHAN BATU SELATAN,8.7
LABUHAN BATU UTARA,8.34
NIAS UTARA,6.08
NIAS BARAT,5.78
KOTA SIBOLGA,9.87
KOTA TANJUNG BALAI,9.14
KOTA PEMATANG SIANTAR,11.06
KOTA TEBING TINGGI,10.09
KOTA MEDAN,11.25
KOTA BINJAI,10.58
KOTA PADANGSIDIMPUAN,10.56
KOTA GUNUNGSITOLI,8.4
KEPULAUAN MENTAWAI,6.69
PESISIR SELATAN,8.13
SOLOK,7.6
SIJUNJUNG,7.72
TANAH DATAR,8.14
PADANG PARIAMAN,7.21
AGAM,8.39
LIMA PULUH KOTA,7.96
PASAMAN,7.65
SOLOK SELATAN,8
DHARMAS RAYA,8.24
PASAMAN BARAT,7.85
KOTA PADANG,11.32
KOTA SOLOK,10.95
KOTA SAWAH LUNTO,9.93
KOTA PADANG PANJANG,11.43
KOTA BUKITTINGGI,11.3
KOTA PAYAKUMBUH,10.45
KOTA PARIAMAN,10.1
KUANTAN SINGINGI,8.2
INDRAGIRI HULU,7.89
INDRAGIRI HILIR,7.18
PELALAWAN,8.19
SIAK,9.4
KAMPAR,9.09
ROKAN HULU,8.18
BENGKALIS,8.89
ROKAN HILIR,7.89
KEPULAUAN MERANTI,7.47
KOTA PEKANBARU,11.21
KOTA DUMAI,9.67
KERINCI,8.19
MERANGIN,7.62
SAROLANGUN,7.47
BATANG HARI,7.77
MUARO JAMBI,8.08
TANJUNG JABUNG TIMUR,6.33
TANJUNG JABUNG BARAT,7.44
TEBO,7.55
BUNGO,8.08
KOTA JAMBI,10.66
KOTA SUNGAI PENUH,9.55
OGAN KOMERING ULU,8.67
OGAN KOMERING ILIR,7.01
MUARA ENIM,7.49
LAHAT,8.43
MUSI RAWAS,7.18
MUSI BANYUASIN,7.59
BANYU ASIN,7.16
OGAN KOMERING ULU SELATAN,7.66
OGAN KOMERING ULU TIMUR,7.12
OGAN ILIR,7.37
EMPAT LAWANG,7.37
PENUKAL ABAB LEMATANG ILIR,6.57
MUSI RAWAS UTARA,6.44
KOTA PALEMBANG,10.36
KOTA PRABUMULIH,9.68
KOTA PAGAR ALAM,8.93
KOTA LUBUKLINGGAU,9.5
BENGKULU SELATAN,8.78
REJANG LEBONG,8.04
BENGKULU UTARA,7.83
KAUR,7.96
SELUMA,7.75
MUKOMUKO,7.87
LEBONG,7.87
KEPAHIANG,7.84
BENGKULU TENGAH,6.9
KOTA BENGKULU,11.57
LAMPUNG BARAT,7.33
TANGGAMUS,6.88
LAMPUNG SELATAN,7.66
LAMPUNG TIMUR,7.56
LAMPUNG TENGAH,7.38
LAMPUNG UTARA,7.99
WAY KANAN,7.34
TULANGBAWANG,7.15
PESAWARAN,7.45
PRINGSEWU,7.85
MESUJI,6.39
TULANGBAWANG BARAT,7.09
PESISIR BARAT,7.58
KOTA BANDAR LAMPUNG,10.89
KOTA METRO,10.57
BANGKA,8.19
BELITUNG,8.11
BANGKA BARAT,7.06
BANGKA TENGAH,6.79
BANGKA SELATAN,6.12
BELITUNG TIMUR,8
KOTA PANGKAL PINANG,9.77
KARIMUN,7.8
BINTAN,8.34
NATUNA,8.47
LINGGA,5.97
KEPULAUAN ANAMBAS,6.69
KOTA BATAM,11.11
KOTA TANJUNG PINANG,9.97
KEPULAUAN SERIBU,8.25
KODYA JAKARTA SELATAN,11.47
KODYA JAKARTA TIMUR,11.6
KODYA JAKARTA PUSAT,11.02
KODYA JAKARTA BARAT,10.37
KODYA JAKARTA UTARA,10.6
BOGOR,7.84
SUKABUMI,6.79
CIANJUR,6.92
BANDUNG,8.51
GARUT,7.28
TASIKMALAYA,7.12
CIAMIS,7.59
KUNINGAN,7.35
CIREBON,6.61
MAJALENGKA,6.9
SUMEDANG,7.98
INDRAMAYU,5.97
SUBANG,6.83
PURWAKARTA,7.74
KARAWANG,7.34
BEKASI,8.82
BANDUNG BARAT,7.74
PANGANDARAN,7.37
KOTA BOGOR,10.29
KOTA SUKABUMI,9.52
KOTA BANDUNG,10.59
KOTA CIREBON,9.88
KOTA BEKASI,10.93
KOTA DEPOK,10.84
KOTA CIMAHI,10.93
KOTA TASIKMALAYA,9.03
KOTA BANJAR,8.59
CILACAP,6.91
BANYUMAS,7.4
PURBALINGGA,6.87
BANJARNEGARA,6.27
KEBUMEN,7.29
PURWOREJO,7.69
WONOSOBO,6.51
MAGELANG,7.41
BOYOLALI,7.44
KLATEN,8.23
